GeneSymbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,change
TMIGD3,96.735107,4.732952321,0.745437782,6.349225158,2.16E-10,2.30E-06,UP
AMPH,77.6587177,3.881795489,0.633046011,6.131932623,8.68E-10,4.62E-06,UP
FKBP5,7674.754262,3.273443606,0.553157402,5.917743473,3.26E-09,9.44E-06,UP
CD163,6172.884556,4.496922613,0.761677481,5.903972125,3.55E-09,9.44E-06,UP
ELANE,493.8261438,5.806355479,0.997699723,5.819742499,5.89E-09,1.25E-05,UP
PCSK9,124.7841118,9.610766426,1.695563782,5.668183367,1.44E-08,2.56E-05,UP
CD163L1,80.17000966,7.459161806,1.348790205,5.530260953,3.20E-08,4.86E-05,UP
IFI44,849.6834673,-3.430872736,0.642765684,-5.337672529,9.41E-08,0.000125181,DOWN
NTSR1,486.3643882,3.915835598,0.744689584,5.258346138,1.45E-07,0.000166344,UP
ALOX15B,93.06698653,4.727884481,0.901428195,5.244881962,1.56E-07,0.000166344,UP
GRB10,916.2251262,3.446039503,0.679563397,5.070961029,3.96E-07,0.000355993,UP
S100A12,13393.33436,4.139148413,0.816691088,5.068193435,4.02E-07,0.000355993,UP
WFDC1,37.75605401,4.879231522,0.985657194,4.950231735,7.41E-07,0.000597445,UP
GBP5,7291.06457,-3.404658376,0.689379435,-4.938729241,7.86E-07,0.000597445,DOWN
TARM1,10.49203585,6.616745482,1.350929051,4.897922271,9.69E-07,0.000644597,UP
DEFA1,73.35542094,5.750399537,1.174099235,4.897711681,9.70E-07,0.000644597,UP
MTND1P23,156.2850271,-6.789544365,1.402254136,-4.841878652,1.29E-06,0.000804766,DOWN
IL1R2,12574.63405,4.204149284,0.870745545,4.828217966,1.38E-06,0.000814087,UP
KLF14,32.16508186,5.56827499,1.157588457,4.810237142,1.51E-06,0.000843969,UP
COL17A1,51.4996634,5.11755176,1.075187543,4.759682899,1.94E-06,0.000986431,UP
BPI,558.0766878,4.242626942,0.891532556,4.758802037,1.95E-06,0.000986431,UP
OLFM1,12.93508863,-3.220435681,0.686838436,-4.688781979,2.75E-06,0.001325637,DOWN
